MovieId,CrewId,Name,Role
49047,11218,Alfonso Cuarón,Producer
49047,10968,David Heyman,Producer
210908,51534,Lucky McKee,Director
210908,49281,Chris Sivertson,Director
210908,61497,Robert Tonino,Producer
210908,61490,Andrew van den Houten,Producer
15789,15775,Kevin Lima,Director
80274,13079,Gavin Hood,Director
80274,107275,Orson Scott Card,Producer
80274,16514,Robert Chartoff,Producer
80274,74827,Lynn Hendee,Producer
80274,15345,Alex Kurtzman,Producer
80274,964321,Linda McDonough,Producer
80274,15346,Roberto Orci,Producer
80274,20743,Gigi Pritzker,Producer
80274,1289014,Ed Ulbrich,Producer
62241,1203461,Russ Malkin,Director
62241,126180,David Alexanian,Director
217337,72280,Lionel Baier,Director
236751,2460,Randall Wallace,Director
236751,235558,T.D. Jakes,Producer
236751,18311,Joe Roth,Producer
175574,8029,Jimmy Hayward,Director
244839,1040479,M. David Melvin,Director
76163,12786,Simon West,Director
76163,17209,Avi Lerner,Producer
76163,17208,Danny Lerner,Producer
76163,16486,Kevin King Templeton,Producer
76163,22815,John Thompson,Producer
76163,17207,Les Weldon,Producer
120,108,Peter Jackson,Director
120,108,Peter Jackson,Producer
120,123,Barrie M. Osborne,Producer
187596,32593,Steven Brill,Director
187596,35180,Sidney Kimmel,Producer
187596,3953,Gary Lucchesi,Producer
187596,68602,Tom Rosenberg,Producer
243451,1278435,Vitor Brandt,Director
157832,65594,John Michael McDonagh,Director
157832,63508,Chris Clark,Producer
157832,965568,Flora Fernandez-Marengo,Producer
157832,43424,James Flynn,Producer
75612,86270,Joseph Kosinski,Director
75612,266920,Peter Chernin,Producer
75612,86270,Joseph Kosinski,Producer
75612,73772,Barry Levine,Producer
75612,935717,Dylan Clark,Producer
75612,6870,Duncan Henderson,Producer
68724,82194,Neill Blomkamp,Director
68724,11092,Simon Kinberg,Producer
246013,931593,Mark Jackson,Director
93456,124747,Pierre Coffin,Director
93456,124748,Chris Renaud,Director
93456,5720,Christopher Meledandri,Producer
98566,66739,Jonathan Liebesman,Director
98566,865,Michael Bay,Producer
98566,54843,Andrew Form,Producer
98566,54844,Bradley Fuller,Producer
98566,60245,Scott Mednick,Producer
98566,19501,Galen Walker,Producer
278334,586734,Evelyn Purcell,Director
278334,60864,David Lancaster,Producer
278334,66726,Michel Litvak,Producer
212762,5917,Ernie Barbarash,Director
76203,72757,Steve McQueen,Director
76203,20458,Dede Gardner,Producer
76203,967387,Jeremy Kleiner,Producer
76203,287,Brad Pitt,Producer
76203,60187,Anthony Katagas,Producer
76203,376,Arnon Milchan,Producer
76203,46588,Bill Pohlad,Producer
76203,72757,Steve McQueen,Producer
210479,23227,Steven Knight,Director
210479,959442,Guy Heeley,Producer
210479,21378,Paul Webster,Producer
204436,1186851,Stéphane Berla,Director
204436,1186852,Mathias Malzieu,Director
49051,108,Peter Jackson,Director
49051,3506,Carolynne Cunningham,Producer
49051,108,Peter Jackson,Producer
49051,126,Fran Walsh,Producer
49051,53393,Zane Weiner,Producer
